id;ho_ten;ngay_sinh;dia_chi;cmt;trang_thai;tien_coc
1;capacitor instruction Principal;2021-04-10T01:37:12;Dollar Plastic;Paradigm;93313;71661
2;panel;2021-04-09T12:26:55;Fresh innovate Intelligent;West feed Investment;95747;95617
3;District Sol optimizing;2021-04-10T05:16:02;Malta;Granite;45246;3241
4;invoice system;2021-04-09T22:28:43;XSS Card;Computer Awesome Rwanda;41831;10720
5;Internal Money Identity;2021-04-09T13:03:25;green Bulgaria Refined;proactive auxiliary;44090;38228
6;platforms multi-byte;2021-04-10T07:38:23;withdrawal Peru Beauty;Total;83174;10520
7;RSS deposit;2021-04-09T16:32:21;yellow cutting-edge Zloty;Towels XML;78297;74434
8;Frozen Chief HTTP;2021-04-10T03:59:29;Industrial Bedfordshire 1080p;Carolina for;42374;78935
9;Islands Samoa input;2021-04-10T00:17:26;recontextualize parsing Books;Automotive deposit;53791;59402
10;generating task-force bypassing;2021-04-10T08:11:03;Producer systemic;driver;39872;4521
